questions,answer 1,answer2,answer3,correct
Which is the most spoken language in the world?,Spanish,Mandarin Chinese,English,Mandarin Chinese
What is the capital of Thailand?,Bangkok,Chiang Mai,Phuket,Bangkok
What does the Roman numeral “X” represent?,50,100,5,10
What is the main ingredient in hummus?,Rice,Chickpeas,Sesame seeds,Chickpeas
Who was the first woman to fly solo across the Atlantic Ocean?,Valentina Tereshkova,Amelia Earhart,Bessie Coleman,Amelia Earhart
What is the tallest building in the world (as of 2025)?,Shanghai Tower,Burj Khalifa,One World Trade Center,Burj Khalifa
What is the capital of Germany?,Munich,Berlin,Hamburg,Berlin
Which is the longest bone in the human body?,Spine,Femur,Tibia,Femur
Who wrote Pride and Prejudice?,Charlotte Brontë,Emily Brontë,Jane Austen,Jane Austen
What is the capital of Argentina?,Santiago,Buenos Aires,Rosario,Buenos Aires
Which planet has the most moons?,Earth,Jupiter,Saturn,Saturn
What is the national currency of India?,Taka,Rupee,Rupees,Rupee
Who painted Starry Night?,Pablo Picasso,Claude Monet,Van Gogh,Vincent van Gogh
What is the main language spoken in Brazil?,Spanish,Portuguese,French,Portuguese
What is the capital of Turkey?,Athens,Istanbul,Ankara,Ankara
Which vitamin is produced when a person is exposed to sunlight?,Vitamin C,Vitamin D3,Vitamin B12,Vitamin D
Who was the first emperor of China?,Genghis Khan,Qin Shi Huang,Kublai Khan,Qin Shi Huang
What is the capital of Mexico?,Guadalajara,Monterrey,Mexico City,Mexico City
What is the main ingredient in traditional sushi?,Chicken,Fish,Seaweed,Rice
Who is the Norse god of thunder?,Odin,Thor,Loki,Thor
What is the capital of Kenya?,Nairobi,Mombasa,Kigali,Nairobi
Which country invented paper?,Greece,China,Egypt,China
How many continents are there in the world?,5,6,4,7
What is the currency of South Africa?,Dollar,Rand,Peso,Rand
Who discovered America in 1492?,Marco Polo,Christopher Columbus,Amerigo Vespucci,Christopher Columbus
